Soldado                                  | Módulo          | Anémico | ORM | Event | Risk
-----------------------------------------------------------------------------------------------
SoldadoRegistroInventarioArtesano        | artesanos       | False   | False | False | Medio
SoldadoValidacionPedidoArtesano          | artesanos       | False   | False | False | Bajo
SoldadoControlStockArtesano              | artesanos       | False   | False | False | Medio
SoldadoConfirmacionDespachoArtesano      | artesanos       | False   | False | False | Bajo
SoldadoMonitoreoVentasArtesano           | artesanos       | False   | False | False | Bajo
SoldadoSincronizadorComercial            | artesanos       | False   | False | False | Bajo
SoldadoRegistroIngresos                  | financiero      | False   | True | False | Bajo
SoldadoRegistroEgresos                   | financiero      | False   | True | False | Bajo
SoldadoVerificadorSoportes               | financiero      | False   | False | False | Bajo
SoldadoValidadorTransacciones            | financiero      | False   | False | False | Bajo
SoldadoConsolidadorDiario                | financiero      | False   | False | False | Bajo
SoldadoDescargaExtractos                 | financiero      | False   | False | False | Bajo
SoldadoCruceAutomatico                   | financiero      | False   | False | False | Bajo
SoldadoIdentificadorDiferencias          | financiero      | False   | False | False | Bajo
SoldadoAjustadorContable                 | financiero      | False   | False | False | Alto
SoldadoAuditorConciliacion               | financiero      | False   | False | False | Bajo
SoldadoInputMetas                        | financiero      | False   | False | False | Bajo
SoldadoTrackingGasto                     | financiero      | False   | False | False | Bajo
SoldadoAnalistaVarianza                  | financiero      | False   | False | False | Bajo
SoldadoValidadorRubros                   | financiero      | False   | False | False | Bajo
SoldadoAlertaSobrecosto                  | financiero      | False   | True | False | Bajo
SoldadoRegistroCredito                   | financiero      | False   | True | False | Alto
SoldadoCalculadorAmortizacion            | financiero      | False   | False | False | Bajo
SoldadoTrackingPagos                     | financiero      | False   | False | False | Alto
SoldadoAnalistaRiesgoCredito             | financiero      | False   | False | False | Alto
SoldadoAuditorDeuda                      | financiero      | False   | False | False | Bajo
SoldadoRecoleccionHistorica              | financiero      | False   | False | False | Bajo
SoldadoModeladoEscenarios                | financiero      | False   | False | False | Bajo
SoldadoValidacionIA                      | financiero      | False   | False | False | Bajo
SoldadoAjusteTendencia                   | financiero      | False   | False | False | Bajo
SoldadoGeneradorReportePredictivo        | financiero      | False   | False | False | Bajo
SoldadoKPI                               | financiero      | False   | True | False | Bajo
SoldadoRegistroContable                  | prestadores     | False   | False | False | Alto
SoldadoVerificacionContable              | prestadores     | False   | False | False | Alto
SoldadoTrazabilidadContable              | prestadores     | False   | False | False | Alto
SoldadoIntegraciónContable               | prestadores     | False   | False | False | Alto
SoldadoMonitoreoContable                 | prestadores     | False   | False | False | Alto
SoldadoAjusteStock                       | prestadores     | False   | False | False | Medio
SoldadoValoracionInventario              | prestadores     | False   | True | False | Medio
SoldadoControlPuntoReorden               | prestadores     | False   | True | False | Bajo
SoldadoCalculoIVA                        | prestadores     | False   | False | False | Bajo
SoldadoRegistroRetenciones               | prestadores     | False   | False | False | Bajo
SoldadoRegistroLeadComercial             | prestadores     | False   | True | False | Medio
SoldadoVerificacionLeadComercial         | prestadores     | False   | True | False | Medio
SoldadoTrazabilidadVentaComercial        | prestadores     | False   | True | False | Bajo
SoldadoIntegracionCRMComercial           | prestadores     | False   | False | False | Bajo
SoldadoMonitoreoConversionComercial      | prestadores     | False   | False | False | Bajo
SoldadoGeneracionFactura                 | prestadores     | False   | True | False | Bajo
SoldadoValidacionDIAN                    | prestadores     | False   | True | False | Bajo
SoldadoNotificacionFactura               | prestadores     | False   | False | False | Bajo
SoldadoValidacionReservaAgencia          | prestadores     | False   | True | False | Bajo
SoldadoRegistroComisionAgencia           | prestadores     | False   | False | False | Medio
SoldadoConfirmacionLiquidacionAgencia    | prestadores     | False   | False | False | Bajo
SoldadoVerificacionItinerarioAgencia     | prestadores     | False   | False | False | Bajo
SoldadoMonitoreoDestinoAgencia           | prestadores     | False   | False | False | Bajo
SoldadoSeguimientoCartera                | prestadores     | False   | True | False | Bajo
SoldadoGestionCobro                      | prestadores     | False   | False | False | Bajo
SoldadoRegistroRiesgoSST                 | prestadores     | False   | True | False | Bajo
SoldadoVerificacionEPPSST                | prestadores     | False   | False | False | Bajo
SoldadoTrazabilidadIncidenteSST          | prestadores     | False   | True | False | Bajo
SoldadoIntegracionNormativaSST           | prestadores     | False   | False | False | Bajo
SoldadoMonitoreoSaludSST                 | prestadores     | False   | True | False | Bajo
SoldadoLiquidacion                       | nomina          | False   | False | False | Bajo
SoldadoPrestaciones                      | nomina          | False   | False | False | Bajo
SoldadoSeguridadSocial                   | nomina          | False   | False | False | Bajo
SoldadoNovedades                         | nomina          | False   | True | False | Bajo
SoldadoIndicadores                       | nomina          | False   | False | False | Bajo
SoldadoAnalistaMacro                     | nacional        | False   | False | False | Bajo
SoldadoCertificadorEstandares            | nacional        | False   | True | False | Bajo
SoldadoPlanificadorRegional              | departamental   | False   | False | False | Bajo
SoldadoTrazadorRutas                     | departamental   | False   | True | False | Bajo
